,ES,FESX,NK
2013-01-31,1.0,1.0,1.0
2013-02-28,1.0044646466629699,0.9791635110751935,1.016161540691324
2013-03-31,1.0506003743018797,0.9812741078645306,1.0713408159095275
2013-04-30,1.0811163002333246,0.9995021874402645,1.1811739122972524
2013-05-31,1.1272508453254682,1.0292061324974324,1.1664383764860324
2013-06-30,1.1500053672777208,1.0712780896959537,1.1917974113643737
2013-07-31,1.217511335792018,1.1204315260327915,1.177259896173813
2013-08-31,1.1536868133176126,1.0936586841790945,1.139656467679546
2013-09-30,1.1950828737744776,1.1429878052574225,1.1715892784011515
2013-10-31,1.2542230199624396,1.2033198063733903,1.169171690517117
2013-11-30,1.3056106244435597,1.2232560983269267,1.2393963539774095
2013-12-31,1.3571644360030466,1.23955717507391,1.267451968746094
2014-01-31,1.3068323591481175,1.2231704434557489,1.1997788701028376
2014-02-28,1.4428665116514454,1.3095651266564812,1.2439458299980397
2014-03-31,1.4759354519892016,1.3630855113774556,1.2643804554195737
2014-04-30,1.4774288884267899,1.3773585604076535,1.2295159744566633
2014-05-31,1.529021504599943,1.4360607571367892,1.2458119904076164
2014-06-30,1.5799915200843506,1.429853261107019,1.2528687467422435
2014-07-31,1.52901793175606,1.4938035743579372,1.2591636659287908
2014-08-31,1.640917920578059,1.5423825615702649,1.260977352694759
2014-09-30,1.6063020209471872,1.576978119174762,1.3037308660193712
2014-10-31,1.6784823337986026,1.5449793985983848,1.371639264069768
2014-11-30,1.6157396247306623,1.6185708421838145,1.37735704911008
2014-12-31,1.626161247579383,1.5877280779021408,1.3677007984540048
2015-01-31,1.5797085688570192,1.6635878121299656,1.3722279007024336
2015-02-28,1.6583056861777699,1.7473783962341676,1.3007068034014995
2015-03-31,1.6191187963373315,1.794976111822233,1.3196972805592504
2015-04-30,1.645201491477438,1.7669568942572975,1.3334978111493605
2015-05-31,1.65062693108198,1.7600890790736292,1.3800269015373645
2015-06-30,1.6045942684061252,1.7196350460588015,1.3600083614310035
2015-07-31,1.6336076338404735,1.7586210266185034,1.363209515464121
2015-08-31,1.7076422303360705,1.6671673950742512,1.4259126303369438
2015-09-30,1.7107443593937521,1.6860667413377581,1.433155484098176
2015-10-31,1.8333021986404707,1.796949464748586,1.4940027881289717
2015-11-30,1.8210428645349852,1.8221690466794374,1.4513028569167445
2015-12-31,1.7780096990704817,1.7616547884907854,1.3892090383709048
2016-01-31,1.8316227935330314,1.8000327951790196,1.4039713987939544
2016-02-29,1.8312213338868837,1.8229119228744335,1.4792523760898235
2016-03-31,1.9041399438357567,1.8155391983309135,1.497392468966108
2016-04-30,1.909059135068787,1.7739775271784914,1.5067053003975641
2016-05-31,1.8866918386235911,1.7422277694608954,1.4573560904478642
2016-06-30,1.8904008912736239,1.7839166319133442,1.4994140512686367
2016-07-31,1.9595656141416562,1.7431341787004209,1.537744150995714
2016-08-31,1.9654259618510728,1.7682048892954731,1.5633516444147888
2016-09-30,1.9677023430226253,1.7688088652451979,1.5823318502533013
2016-10-31,1.9278626805795993,1.8024162223059097,1.526391525664062
2016-11-30,2.0477513116790425,1.8240309715707215,1.62251241746831
2016-12-31,2.1170263020975684,1.977733321717652,1.6713218467634374
2017-01-31,2.1519278145261653,1.9406197036966235,1.6960410711455922
2017-02-28,2.3071273839615696,1.9919380941167768,1.696800882380768
2017-03-31,2.2495239350626512,2.083506139870357,1.6523125954857047
2017-04-30,2.297190661152936,2.157648866545656,1.6709883191605543
2017-05-31,2.3452350094444996,2.1793133567251783,1.7031489085644271
2017-06-30,2.332903453939035,2.086824701776413,1.719609756470169
2017-07-31,2.4300041232970573,2.0606034645882096,1.6905539949078585
2017-08-31,2.4272907576952805,2.0250649407499433,1.6511148285494937
2017-09-30,2.52413626381249,1.9035292345746917,1.7416696721326719
2017-10-31,2.638261203886659,1.9769066372358317,1.9439212442985117
2017-11-30,2.8221834506952264,1.8710744120087768,1.9815879071762512
2017-12-31,2.902772971061855,1.8579602264765336,1.9906183971417064
